                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                  0.718,                0.51449,                 1.1017,                0.91413,                0.79755,                0.84891,                0.62077,                 1.0529,                0.62084,                 1.4344,               0.000812,               0.000812,               0.000812
                     63,                0.72009,                0.51323,                 1.1086,                0.89546,                0.81759,                0.85091,                0.63481,                 1.0458,                0.61453,                 1.4026,              0.0007922,              0.0007922,              0.0007922
                     64,                0.71276,                0.50634,                  1.104,                0.89227,                0.81433,                0.83722,                0.62673,                 1.0429,                0.63101,                 1.4299,              0.0007724,              0.0007724,              0.0007724
                     65,                0.70827,                0.49412,                  1.104,                0.90094,                0.79985,                 0.8373,                0.61176,                 1.0806,                0.61515,                 1.4907,              0.0007526,              0.0007526,              0.0007526
                     66,                0.69173,                0.48586,                  1.086,                0.91491,                0.78827,                0.84468,                0.62134,                 1.0608,                0.62097,                 1.4654,              0.0007328,              0.0007328,              0.0007328
                     67,                0.69553,                0.49157,                 1.0957,                0.90774,                0.80126,                0.83896,                0.61947,                 1.0534,                0.61884,                 1.4626,               0.000713,               0.000713,               0.000713
                     68,                0.70755,                0.49546,                 1.0977,                0.89102,                0.81107,                0.83756,                 0.6165,                 1.0671,                0.64021,                 1.4623,              0.0006932,              0.0006932,              0.0006932
                     69,                0.70383,                0.49227,                 1.0988,                0.91318,                0.79153,                0.84354,                0.61933,                 1.0669,                0.62652,                 1.4645,              0.0006734,              0.0006734,              0.0006734
                     70,                 0.6851,                0.48355,                 1.0865,                0.92291,                0.77991,                0.84251,                0.62973,                  1.049,                0.61613,                 1.4529,              0.0006536,              0.0006536,              0.0006536
                     71,                0.68283,                0.46993,                  1.085,                0.92319,                0.78827,                0.83838,                0.62042,                 1.0669,                0.65101,                 1.4704,              0.0006338,              0.0006338,              0.0006338
                     72,                 0.6771,                0.47524,                 1.0821,                0.92691,                0.78827,                0.84201,                0.62978,                  1.047,                0.61522,                 1.4461,               0.000614,               0.000614,               0.000614
                     73,                 0.6776,                 0.4702,                 1.0855,                 0.9174,                0.79595,                0.84784,                0.62896,                 1.0525,                0.62189,                 1.4605,              0.0005942,              0.0005942,              0.0005942
                     74,                0.67614,                0.46863,                 1.0812,                0.91367,                0.79153,                0.84431,                0.62466,                 1.0566,                0.61065,                 1.4527,              0.0005744,              0.0005744,              0.0005744
                     75,                0.66349,                 0.4609,                  1.071,                0.88781,                0.82085,                0.84817,                0.61748,                 1.0719,                0.63557,                 1.4755,              0.0005546,              0.0005546,              0.0005546
